model,size,activation,iterations,loss_type,accuracy,image_loss,label_loss
auto_128_elu_1,128,elu,1,single,96.04,0.009982116803338256,0.016469361299952447
auto_128_elu_10_last,128,elu,10,last,9.8,,
auto_128_elu_10_sum,128,elu,10,sum,9.8,,
auto_128_elu_2_last,128,elu,2,last,12.81,0.1600160711928259,0.6080579584157919
auto_128_elu_2_sum,128,elu,2,sum,96.86,0.013226648981246767,0.00988003566444489
auto_128_elu_3_last,128,elu,3,last,10.26,0.18773009109346173,0.719280585458007
auto_128_elu_3_sum,128,elu,3,sum,95.02,0.018456719980775554,0.016041486690563586
auto_128_elu_4_last,128,elu,4,last,9.51,1.9355170636237422,
auto_128_elu_4_sum,128,elu,4,sum,96.42,0.02382339846012713,0.012060001597126734
auto_128_elu_5_last,128,elu,5,last,9.8,,
auto_128_elu_5_sum,128,elu,5,sum,95.24,0.046164891765087465,0.01738808243257315
auto_128_elu_6_last,128,elu,6,last,9.8,,
auto_128_elu_6_sum,128,elu,6,sum,94.89,0.07932773015544384,0.020787075056939067
auto_128_elu_7_last,128,elu,7,last,9.8,,
auto_128_elu_7_sum,128,elu,7,sum,9.8,,
auto_128_elu_8_last,128,elu,8,last,9.8,,
auto_128_elu_8_sum,128,elu,8,sum,9.8,,
auto_128_elu_9_last,128,elu,9,last,9.8,,
auto_128_elu_9_sum,128,elu,9,sum,9.8,,
auto_128_sigmoid_1,128,sigmoid,1,single,89.23,0.06852675087844269,0.04478997245572413
auto_128_sigmoid_10_last,128,sigmoid,10,last,11.35,0.06760922413838061,0.2301209159666979
auto_128_sigmoid_10_sum,128,sigmoid,10,sum,16.16,0.0706979395656646,0.26870901429954963
auto_128_sigmoid_2_last,128,sigmoid,2,last,11.35,0.06759397176247608,0.2301345552447476
auto_128_sigmoid_2_sum,128,sigmoid,2,sum,85.92,0.0998150755332995,0.06736961932546354
auto_128_sigmoid_3_last,128,sigmoid,3,last,11.35,0.0675676042992103,0.23012014902845213
auto_128_sigmoid_3_sum,128,sigmoid,3,sum,83.96,0.06393414009598238,0.07509722680890862
auto_128_sigmoid_4_last,128,sigmoid,4,last,11.35,0.0675467129183721,0.230118059659306
auto_128_sigmoid_4_sum,128,sigmoid,4,sum,43.01,0.14725976050654543,0.31166942738279513
auto_128_sigmoid_5_last,128,sigmoid,5,last,11.35,0.06755839179776892,0.23011885696574103
auto_128_sigmoid_5_sum,128,sigmoid,5,sum,42.1,0.21425570604167407,0.29131464377234256
auto_128_sigmoid_6_last,128,sigmoid,6,last,11.35,0.06759488667491116,0.2301424132494987
auto_128_sigmoid_6_sum,128,sigmoid,6,sum,10.95,0.07348570901947686,0.34923292262644706
auto_128_sigmoid_7_last,128,sigmoid,7,last,11.35,0.06757750480046755,0.23011321829089634
auto_128_sigmoid_7_sum,128,sigmoid,7,sum,19.48,0.06471426907596708,0.19405384097672715
auto_128_sigmoid_8_last,128,sigmoid,8,last,11.35,0.06757942426808272,0.23012626623805565
auto_128_sigmoid_8_sum,128,sigmoid,8,sum,28.58,0.0808822966263264,0.32656187234045586
auto_128_sigmoid_9_last,128,sigmoid,9,last,11.35,0.06758805798201621,0.2301341051919551
auto_128_sigmoid_9_sum,128,sigmoid,9,sum,21.11,0.22461893249161635,1.25623211075988
auto_256_elu_1,256,elu,1,single,71.93,0.004290319442796179,0.14567804558179046
auto_256_elu_10_last,256,elu,10,last,9.56,0.12191056016879746,0.48846217612676984
auto_256_elu_10_sum,256,elu,10,sum,92.13,0.014759896181618111,0.028710654347286195
auto_256_elu_2_last,256,elu,2,last,12.54,0.17180560529232025,0.4554941582528851
auto_256_elu_2_sum,256,elu,2,sum,71.72,0.005231247259940528,0.1255003083261508
auto_256_elu_3_last,256,elu,3,last,5.68,0.15547223351424252,0.5194671610488167
auto_256_elu_3_sum,256,elu,3,sum,69.9,0.006389957876239396,0.17166018863267538
auto_256_elu_4_last,256,elu,4,last,13.41,0.17884612517266335,0.42461812383011927
auto_256_elu_4_sum,256,elu,4,sum,75.66,0.007754872835983959,0.080500709718164
auto_256_elu_5_last,256,elu,5,last,6.13,0.1319371784412408,0.5772154980067965
auto_256_elu_5_sum,256,elu,5,sum,76.76,0.00901860947119473,0.08540605036895486
auto_256_elu_6_last,256,elu,6,last,4.24,0.16390533113404165,0.45522879497914376
auto_256_elu_6_sum,256,elu,6,sum,83.32,0.010565857992424994,0.049183061110633836
auto_256_elu_7_last,256,elu,7,last,9.8,,
auto_256_elu_7_sum,256,elu,7,sum,87.43,0.011198012606252599,0.03681946548197088
auto_256_elu_8_last,256,elu,8,last,9.8,,
auto_256_elu_8_sum,256,elu,8,sum,87.8,0.012574674585197546,0.03789509343619965
auto_256_elu_9_last,256,elu,9,last,2.36,0.13116230664751197,0.5712355265888986
auto_256_elu_9_sum,256,elu,9,sum,91.37,0.013657751599255996,0.030752022585631172
auto_256_sigmoid_1,256,sigmoid,1,single,19.18,2.0447255448450017,
auto_256_sigmoid_10_last,256,sigmoid,10,last,11.35,0.06758263146009626,0.23012550382674496
auto_256_sigmoid_10_sum,256,sigmoid,10,sum,9.58,258.36738006978095,
auto_256_sigmoid_2_last,256,sigmoid,2,last,9.8,12.0245386558243,
auto_256_sigmoid_2_sum,256,sigmoid,2,sum,11.86,3.733182879942882,2.718402814261521
auto_256_sigmoid_3_last,256,sigmoid,3,last,11.35,0.067555920940034,0.23012208240696147
auto_256_sigmoid_3_sum,256,sigmoid,3,sum,10.02,8.44712599017952,
auto_256_sigmoid_4_last,256,sigmoid,4,last,11.35,0.06757547612054439,0.23015615325185318
auto_256_sigmoid_4_sum,256,sigmoid,4,sum,14.12,12.688671075845066,
auto_256_sigmoid_5_last,256,sigmoid,5,last,11.35,0.06758041892059241,0.2301167998510071
auto_256_sigmoid_5_sum,256,sigmoid,5,sum,9.75,21.073941387707674,
auto_256_sigmoid_6_last,256,sigmoid,6,last,11.35,0.06761279414537587,0.23012031897713867
auto_256_sigmoid_6_sum,256,sigmoid,6,sum,13.1,30.711295115796826,
auto_256_sigmoid_7_last,256,sigmoid,7,last,11.35,0.0675786266315587,0.23011518184897267
auto_256_sigmoid_7_sum,256,sigmoid,7,sum,9.74,56.49621374395829,
auto_256_sigmoid_8_last,256,sigmoid,8,last,11.35,0.06753678992390633,0.23013418177260628
auto_256_sigmoid_8_sum,256,sigmoid,8,sum,10.32,179.61490099943137,
auto_256_sigmoid_9_last,256,sigmoid,9,last,11.35,0.06758560499624361,0.2301139618399777
auto_256_sigmoid_9_sum,256,sigmoid,9,sum,9.74,178.27461358565319,
auto_512_elu_1,512,elu,1,single,97.76,0.0007695922653096481,0.0077973761645934465
auto_512_elu_10_last,512,elu,10,last,4.42,0.12188827784001073,0.36255296612087684
auto_512_elu_10_sum,512,elu,10,sum,94.32,0.015680590337967572,0.025394077011961724
auto_512_elu_2_last,512,elu,2,last,6.05,0.1688823760310306,0.33641844799246967
auto_512_elu_2_sum,512,elu,2,sum,97.92,0.0027488162240037056,0.007108270639370938
auto_512_elu_3_last,512,elu,3,last,12.38,0.16425938894854317,0.28272305485568466
auto_512_elu_3_sum,512,elu,3,sum,97.69,0.004842586273068114,0.008609109419645577
auto_512_elu_4_last,512,elu,4,last,14.3,0.13944531024634083,0.27672328092629395
auto_512_elu_4_sum,512,elu,4,sum,97.43,0.0069459350956486,0.01058361028568654
auto_512_elu_5_last,512,elu,5,last,6.39,0.1360083554364458,0.32180524287344536
auto_512_elu_5_sum,512,elu,5,sum,96.81,0.00796300839467705,0.013557829687819828
auto_512_elu_6_last,512,elu,6,last,16.25,0.1482190934917595,0.30016951923128926
auto_512_elu_6_sum,512,elu,6,sum,96.09,0.009526818271584903,0.01646513641440557
auto_512_elu_7_last,512,elu,7,last,9.72,0.12612099030727073,0.3088241095029855
auto_512_elu_7_sum,512,elu,7,sum,95.59,0.01110867264715931,0.019146781081711
auto_512_elu_8_last,512,elu,8,last,7.82,0.11987056422837172,0.330253740654716
auto_512_elu_8_sum,512,elu,8,sum,95.15,0.013279404385086102,0.021356677344729062
auto_512_elu_9_last,512,elu,9,last,4.38,0.1185332998822007,0.319411768566204
auto_512_elu_9_sum,512,elu,9,sum,94.57,0.01364573765593239,0.023132461426732472
auto_512_sigmoid_1,512,sigmoid,1,single,97.76,0.0026991896042482385,0.008528177911264007
auto_512_sigmoid_10_last,512,sigmoid,10,last,9.58,19.633716583251953,1.0017156223707562
auto_512_sigmoid_10_sum,512,sigmoid,10,sum,9.8,,
auto_512_sigmoid_2_last,512,sigmoid,2,last,6.23,0.2327143470697765,0.5253874716124957
auto_512_sigmoid_2_sum,512,sigmoid,2,sum,97.92,0.005121773739545783,0.006766288559677527
auto_512_sigmoid_3_last,512,sigmoid,3,last,5.61,0.1450287405448624,0.4834205010269262
auto_512_sigmoid_3_sum,512,sigmoid,3,sum,97.93,0.010710096210712873,0.006759121486676939
auto_512_sigmoid_4_last,512,sigmoid,4,last,9.37,0.14087883052946645,0.4222818714908407
auto_512_sigmoid_4_sum,512,sigmoid,4,sum,97.96,0.013129149870121782,0.0066981685774834075
auto_512_sigmoid_5_last,512,sigmoid,5,last,11.04,0.1514235155869134,0.5009148566028739
auto_512_sigmoid_5_sum,512,sigmoid,5,sum,98.0,0.018706981187002567,0.0070126147721923555
auto_512_sigmoid_6_last,512,sigmoid,6,last,1.19,0.1589926134181928,0.5965517740460891
auto_512_sigmoid_6_sum,512,sigmoid,6,sum,96.46,0.030776497731103174,0.011769061541196573
auto_512_sigmoid_7_last,512,sigmoid,7,last,5.98,0.15426112164424943,0.559277091599718
auto_512_sigmoid_7_sum,512,sigmoid,7,sum,95.0,0.046881699580934987,0.017110621995775947
auto_512_sigmoid_8_last,512,sigmoid,8,last,7.63,4.6848138616054875,0.9698665873913825
auto_512_sigmoid_8_sum,512,sigmoid,8,sum,9.8,,
auto_512_sigmoid_9_last,512,sigmoid,9,last,1.7,0.171104105590265,0.6094658552091333
auto_512_sigmoid_9_sum,512,sigmoid,9,sum,16.02,112.45119399058667,1.322820358638522
auto_64_elu_1,64,elu,1,single,96.23,0.028102139341114444,0.015776261889163545
auto_64_elu_10_last,64,elu,10,last,9.8,,
auto_64_elu_10_sum,64,elu,10,sum,9.8,,
auto_64_elu_2_last,64,elu,2,last,2.08,0.16077934978883476,0.9787694261043887
auto_64_elu_2_sum,64,elu,2,sum,90.42,0.04600918151532547,0.03744176826793465
auto_64_elu_3_last,64,elu,3,last,9.8,,
auto_64_elu_3_sum,64,elu,3,sum,95.91,0.10749122755059713,0.01701576028334543
auto_64_elu_4_last,64,elu,4,last,9.8,,
auto_64_elu_4_sum,64,elu,4,sum,21.5,1.1853625525402118,
auto_64_elu_5_last,64,elu,5,last,9.8,,
auto_64_elu_5_sum,64,elu,5,sum,6.23,2.748518035381655,0.493554780754862
auto_64_elu_6_last,64,elu,6,last,9.8,,
auto_64_elu_6_sum,64,elu,6,sum,9.8,,
auto_64_elu_7_last,64,elu,7,last,9.8,,
auto_64_elu_7_sum,64,elu,7,sum,9.8,,
auto_64_elu_8_last,64,elu,8,last,9.8,,
auto_64_elu_8_sum,64,elu,8,sum,9.8,,
auto_64_elu_9_last,64,elu,9,last,9.8,,
auto_64_elu_9_sum,64,elu,9,sum,9.8,,
auto_64_sigmoid_1,64,sigmoid,1,single,14.64,0.1071863808209383,0.8196248381952697
auto_64_sigmoid_10_last,64,sigmoid,10,last,11.35,0.06758926106216032,0.23010899616947658
auto_64_sigmoid_10_sum,64,sigmoid,10,sum,11.35,0.06757165255803096,0.23016262865519221
auto_64_sigmoid_2_last,64,sigmoid,2,last,11.35,0.0676262236754351,0.23022094821628136
auto_64_sigmoid_2_sum,64,sigmoid,2,sum,16.53,0.07802617398998406,0.36064194953894313
auto_64_sigmoid_3_last,64,sigmoid,3,last,10.09,0.06756480985993071,0.23017994342725487
auto_64_sigmoid_3_sum,64,sigmoid,3,sum,20.75,0.06660175186735165,0.2734885860847521
auto_64_sigmoid_4_last,64,sigmoid,4,last,11.35,0.0676359971867332,0.2301387360578851
auto_64_sigmoid_4_sum,64,sigmoid,4,sum,11.35,0.06760454342900953,0.23012194188335275
auto_64_sigmoid_5_last,64,sigmoid,5,last,11.35,0.06756626484514791,0.23013461843321595
auto_64_sigmoid_5_sum,64,sigmoid,5,sum,11.35,0.06760141574129273,0.23019553871848916
auto_64_sigmoid_6_last,64,sigmoid,6,last,11.35,0.06758598464576504,0.23016383979893937
auto_64_sigmoid_6_sum,64,sigmoid,6,sum,11.35,0.06761576438063308,0.2301828161447863
auto_64_sigmoid_7_last,64,sigmoid,7,last,11.35,0.06758734296205678,0.23019650088080876
auto_64_sigmoid_7_sum,64,sigmoid,7,sum,11.35,0.0675299746703498,0.23012439001210128
auto_64_sigmoid_8_last,64,sigmoid,8,last,11.35,0.06764606669356552,0.23014607384235045
auto_64_sigmoid_8_sum,64,sigmoid,8,sum,11.35,0.06764917301980755,0.23013093011288704
auto_64_sigmoid_9_last,64,sigmoid,9,last,11.35,0.06760916241173502,0.23014103442053252
auto_64_sigmoid_9_sum,64,sigmoid,9,sum,11.35,0.06761028197935864,0.2302318864230868
